cell_line,id
22RV1,0
23132-87,1
42-MG-BA,2
5637,3
639-V,4
647-V,5
697,6
769-P,7
786-0,8
8-MG-BA,9
8305C,10
8505C,11
A172,12
A204,13
A2058,14
A253,15
A2780,16
A3-KAW,17
A375,18
A388,19
A4-Fuk,20
A427,21
A431,22
A498,23
A549,24
A673,25
A704,26
ABC-1,27
ACHN,28
AGS,29
ALL-SIL,30
AM-38,31
AMO-1,32
AN3-CA,33
ASH-3,34
AU565,35
AsPC-1,36
B-CPAP,37
BEN,38
BFTC-905,39
BFTC-909,40
BHT-101,41
BHY,42
BICR22,43
BICR31,44
BICR78,45
BL-41,46
BPH-1,47
BT-20,48
BT-474,49
BT-483,50
BT-549,51
BV-173,52
Becker,53
BxPC-3,54
C-33-A,55
C-4-I,56
C2BBe1,57
C32,58
CA46,59
CADO-ES1,60
CAKI-1,61
CAL-120,62
CAL-12T,63
CAL-148,64
CAL-27,65
CAL-29,66
CAL-33,67
CAL-51,68
CAL-54,69
CAL-62,70
CAL-72,71
CAL-78,72
CAMA-1,73
CAPAN-1,74
CAPAN-2,75
CAS-1,76
CCK-81,77
CFPAC-1,78
CHP-126,79
CHP-212,80
CL-11,81
CML-T1,82
COLO-668,83
COLO-678,84
COLO-679,85
COLO-680N,86
COLO-684,87
COLO-783,88
COLO-792,89
COLO-800,90
COLO-824,91
COLO-829,92
COR-L105,93
COR-L23,94
COR-L279,95
COR-L311,96
COR-L88,97
COR-L95,98
CW-2,99
Ca-Ski,100
Calu-3,101
Calu-6,102
Caov-3,103
Caov-4,104
ChaGo-K-1,105
D-283MED,106
DAN-G,107
DB,108
DBTRG-05MG,109
DEL,110
DK-MG,111
DMS-114,112
DMS-273,113
DMS-53,114
DMS-79,115
DND-41,116
DOHH-2,117
DU-4475,118
Daoy,119
Daudi,120
Detroit562,121
DoTc2-4510,122
EBC-1,123
EC-GI-10,124
ECC10,125
ECC12,126
EFM-19,127
EFM-192A,128
EFO-21,129
EFO-27,130
EJM,131
EKVX,132
EM-2,133
EN,134
EPLC-272H,135
ES-2,136
ESO26,137
ESO51,138
ESS-1,139
EoL-1-cell,140
FADU,141
FLO-1,142
FTC-133,143
FU-OV-1,144
FU97,145
Farage,146
G-292-Clone-A141B1,147
G-361,148
G-401,149
G-402,150
GA-10,151
GAMG,152
GB-1,153
GCT,154
GDM-1,155
GI-1,156
GI-ME-N,157
GOTO,158
GP5d,159
GRANTA-519,160
H-EMC-SS,161
H3255,162
H4,163
HARA,164
HCC-15,165
HCC-33,166
HCC-366,167
HCC-78,168
HCC-827,169
HCC1143,170
HCC1187,171
HCC1395,172
HCC1419,173
HCC1428,174
HCC1500,175
HCC1569,176
HCC1599,177
HCC1806,178
HCC1937,179
HCC1954,180
HCC2157,181
HCC2218,182
HCC38,183
HCC70,184
HCT-116,185
HCT-15,186
HDLM-2,187
HDQ-P1,188
HEC-1,189
HEL,190
HGC-27,191
HH,192
HL-60,193
HO-1-u-1,194
HOP-62,195
HOP-92,196
HOS,197
HPAC,198
HSC-2,199
HSC-3,200
HSC-4,201
HT,202
HT-1080,203
HT-115,204
HT-1197,205
HT-1376,206
HT-144,207
HT-29,208
HT-3,209
HT55,210
HeLa,211
Hep3B2-1-7,212
Hs-578-T,213
Hs-683,214
Hs-746T,215
Hs-766T,216
Hs-939-T,217
Hs-940-T,218
HuCCT1,219
HuH-7,220
HuO9,221
HuP-T3,222
HuP-T4,223
HuTu-80,224
IA-LM,225
IGR-1,226
IGR-37,227
IGROV-1,228
IHH-4,229
IM-95,230
IPC-298,231
IST-MES1,232
J82,233
JAR,234
JEG-3,235
JEKO-1,236
JHH-1,237
JHH-2,238
JHH-4,239
JHH-6,240
JHH-7,241
JHOS-2,242
JHOS-4,243
JIMT-1,244
JJN-3,245
JM1,246
JURL-MK1,247
JVM-2,248
JVM-3,249
Jurkat,250
K-562,251
KALS-1,252
KARPAS-299,253
KARPAS-422,254
KARPAS-620,255
KASUMI-1,256
KATOIII,257
KCL-22,258
KE-37,259
KELLY,260
KG-1,261
KLE,262
KM-H2,263
KM12,264
KMRC-1,265
KMRC-20,266
KMS-11,267
KMS-12-BM,268
KNS-42,269
KNS-62,270
KON,271
KOPN-8,272
KP-2,273
KP-3,274
KP-4,275
KP-N-RT-BM-1,276
KP-N-YN,277
KS-1,278
KU-19-19,279
KU812,280
KURAMOCHI,281
KYM-1,282
KYSE-140,283
KYSE-150,284
KYSE-180,285
KYSE-270,286
KYSE-410,287
KYSE-450,288
KYSE-510,289
KYSE-520,290
KYSE-70,291
L-1236,292
L-363,293
L-428,294
L-540,295
LAMA-84,296
LCLC-103H,297
LCLC-97TM1,298
LK-2,299
LN-18,300
LN-229,301
LNCaP-Clone-FGC,302
LOU-NH91,303
LOUCY,304
LOXIMVI,305
LP-1,306
LS-123,307
LS-180,308
LS-411N,309
LS-513,310
LU-135,311
LU-65,312
LXF-289,313
LoVo,314
MC116,315
MCF7,316
MDA-MB-157,317
MDA-MB-175-VII,318
MDA-MB-231,319
MDA-MB-361,320
MDA-MB-415,321
MDA-MB-436,322
MDA-MB-453,323
MDA-MB-468,324
MDST8,325
ME-1,326
MEG-01,327
MEL-HO,328
MEL-JUSO,329
MES-SA,330
MFE-280,331
MFE-296,332
MFE-319,333
MFM-223,334
MG-63,335
