,esm2_pca_0,esm2_pca_1,esm2_pca_2,esm2_pca_3,esm2_pca_4,esm2_pca_5,esm2_pca_6,esm2_pca_7,esm2_pca_8,esm2_pca_9,esm2_pca_10,esm2_pca_11,esm2_pca_12,esm2_pca_13,esm2_pca_14,esm2_pca_15,esm2_pca_16,esm2_pca_17,esm2_pca_18,esm2_pca_19,esm2_pca_20,esm2_pca_21,esm2_pca_22,esm2_pca_23,esm2_pca_24,esm2_pca_25,esm2_pca_26,esm2_pca_27,esm2_pca_28,esm2_pca_29,esm2_pca_30,esm2_pca_31,esm2_pca_32,esm2_pca_33,esm2_pca_34,esm2_pca_35,esm2_pca_36,esm2_pca_37,esm2_pca_38,esm2_pca_39,esm2_pca_40,esm2_pca_41,esm2_pca_42,esm2_pca_43,esm2_pca_44,esm2_pca_45,esm2_pca_46,esm2_pca_47,esm2_pca_48,esm2_pca_49,esm2_pca_50,esm2_pca_51,esm2_pca_52,esm2_pca_53,esm2_pca_54,esm2_pca_55,esm2_pca_56,esm2_pca_57,esm2_pca_58,esm2_pca_59,esm2_pca_60,esm2_pca_61,esm2_pca_62,esm2_pca_63,esm2_pca_64,esm2_pca_65,esm2_pca_66,esm2_pca_67,esm2_pca_68,esm2_pca_69,esm2_pca_70,esm2_pca_71,esm2_pca_72,esm2_pca_73,esm2_pca_74,esm2_pca_75,esm2_pca_76,esm2_pca_77,esm2_pca_78,esm2_pca_79,esm2_pca_80,esm2_pca_81,esm2_pca_82,esm2_pca_83,esm2_pca_84,esm2_pca_85,esm2_pca_86,esm2_pca_87,esm2_pca_88,esm2_pca_89,esm2_pca_90,esm2_pca_91,esm2_pca_92,esm2_pca_93,esm2_pca_94,esm2_pca_95,esm2_pca_96,esm2_pca_97,esm2_pca_98,esm2_pca_99,esm2_pca_100,esm2_pca_101,esm2_pca_102,esm2_pca_103,esm2_pca_104,esm2_pca_105,esm2_pca_106,esm2_pca_107,esm2_pca_108,esm2_pca_109,esm2_pca_110,esm2_pca_111,esm2_pca_112,esm2_pca_113,esm2_pca_114,esm2_pca_115,esm2_pca_116,esm2_pca_117,esm2_pca_118,esm2_pca_119,esm2_pca_120,esm2_pca_121,esm2_pca_122,esm2_pca_123,esm2_pca_124,esm2_pca_125,esm2_pca_126,esm2_pca_127
SA_PTEN_PATHWAY,-1.096636448,1.2722797779089352,-0.511586079,-0.60336218,1.3783487169740436,-0.503239638,0.21919359511433475,-0.398279035,0.05082366104086763,0.035497134378294944,-0.496130187,0.7853226266900556,-0.082193114,0.9788235965087732,1.1618501963887755,-0.02025487,0.41231891034483864,-0.486507069,0.6773394485124715,-0.970492084,0.6315881696044054,-0.172968385,-0.987191507,0.04565771443723707,0.23580436040162153,1.0011022472575914,-0.017728935,-0.055440824,0.054475403509619734,-0.720002917,-0.090872509,0.20599245034726743,-1.276569623,0.002064635842125303,0.4127815515800002,0.0038076751341633076,-0.552081184,0.3376149271696441,0.04719857528671882,0.490710777841431,0.07130664269534165,0.2407096099411597,-0.442294519,-0.426507429,0.44261473933709683,-0.652129821,0.15862736649805234,0.357876932039661,-0.209713582,0.22995611941795988,0.9577752101088305,-0.308713599,0.8813524779459748,-0.265952199,0.4892945664845864,-0.292707749,-0.921747846,0.6626413628645075,-1.05421546,0.02863399899842669,-0.995364771,-1.337120035,0.2457979081335982,0.2803458701324844,0.42172541876259595,0.0658666466062864,0.7582914885535753,0.022300093065322026,-0.243788524,-0.366099394,0.40831265953995116,0.668440385265873,1.2217384302876297,0.20843915871889113,0.9135388021941279,-0.559814612,-0.994453992,0.04800560860837851,-0.080306163,0.3259274831311593,-0.050815721,-0.019719078,0.6666541813619883,0.04609924228249994,-0.32119879,-0.904918293,0.6822277997264828,-0.664973808,-0.518279483,-0.286656737,-0.778686387,0.7517494538054904,0.9781428185731736,0.017608435034847984,0.07576198711455484,-0.28223669,-0.685503956,0.14615043901420144,-0.967742965,-0.502284462,0.42374307781523457,-0.760930727,0.7102357649884352,-0.736979584,-0.928508029,0.15768701757967185,0.7944586193392356,0.16048492986447052,0.07604418947121962,-0.210657375,0.2546435914617853,-0.464882951,-0.268799093,0.629727436277532,-0.510628731,0.10461482645951292,-0.060671028,-1.084316573,0.47135346335748185,0.22144459110287473,0.7737156355138636,-0.053864305,0.07556353054394566,-0.307896442,0.17803624431483772,0.36789786757903725,0.7760787641072959,-0.3251851
SA_TRKA_RECEPTOR,-1.488331943,1.7724917512427665,-0.749241825,-0.522022133,1.1511016261579297,-0.197939985,0.3672284487417864,-0.683526969,0.06387144915500738,0.17246985435381942,-0.274893536,1.079246270231247,0.08600348571705979,1.0193191612525203,1.282422485115031,-0.499447506,0.2152033495726567,-0.484841322,0.23462845087198453,-0.885636251,1.4272200457069826,-0.205221448,-0.178855428,-0.134088267,0.1653241017086005,1.6766882753536394,-0.938112847,0.06256481225431448,0.03553655470684082,-0.283580351,-0.183697883,0.4057935667153591,-0.473216594,0.35914735905684275,0.02776507064984903,-0.140623085,0.4692097229446276,0.2743780613199358,1.206931482920166,0.7181848230474419,0.43174422093851206,-0.446263673,0.4435530891431053,-0.376106349,-0.231989116,-0.406161964,0.40002187211787005,-0.187058348,0.49984477717295944,0.5337788943410824,1.044772977483791,-0.255495198,-0.116436027,-0.344928063,-0.085336315,-0.387478174,0.2477397058308613,0.05038969426685007,0.2096166120893886,-0.5505497,0.07811885722590983,-1.286815472,-0.344726627,0.6262629744842975,-0.240493533,-0.644710603,0.40279439860360383,-0.295303368,-0.249849612,-0.726155737,0.6757593643684305,0.16028145269328048,0.8772668724042513,-0.272776429,0.759055824302919,-0.40826195,-0.339534583,-0.299775581,-0.908751007,-0.024031583,-0.368013186,-0.42231254,-0.102788755,0.08777020356615228,-0.400752801,-0.761941963,0.8867712184678457,0.4758619212620308,0.4617820149444853,0.1775846600268678,0.3657569366354661,0.4992074576439946,0.30135157778226124,0.36859613997820107,0.7537389090314562,0.24749653901445876,-0.190715402,-0.465083612,-0.587345707,-0.088881364,0.7060630950526955,-0.533404676,0.8479398236029674,-0.705524591,-0.156039046,-0.327853081,0.3157347376776102,-0.189648942,-0.288181798,-0.239605209,0.31515388470291694,-0.092814953,-0.550328007,0.2561925097114017,-0.197420017,0.5780646935634564,-0.203180242,-0.689036405,0.057908457745160666,-0.205810303,0.08526243242878098,-0.03905632,-0.638900533,0.024569026882896153,0.5302652958768757,0.03211772934787051,0.007207093001985403,0.20802361196297692
SIG_BCR_SIGNALING_PATHWAY,-0.296425424,0.32394360849370485,-0.590813403,-0.715605722,0.03299972315719955,-0.929039899,0.4261979521370597,1.0617048217793517,0.48780032890172415,-0.876498138,-0.515490763,0.19332970386108517,1.0115368885228377,-0.321356811,0.12464834697362408,0.29170410704745675,0.26109965757736114,0.29116343428004615,1.7304379824281921,1.1157765200534382,0.14015425488339717,1.0332303965591987,-0.077823551,-0.755992993,0.9605181768453919,0.16950937275147468,-0.589497649,0.645094311242956,0.45453209613049783,-0.155772948,-0.142653102,0.11512678580761451,-0.79119224,-0.443696694,-0.48491013,-0.368770884,-0.75558605,-0.236836627,-0.599573885,0.2917145103870496,0.5533162850307574,0.24722245842798338,-0.055384716,-0.409671973,0.10292642001993377,0.3360322564771474,-0.827255653,0.8809521091635064,-0.537999943,-0.926067403,1.5704005466385835,-0.499485808,-0.008578658,-0.730699933,0.7975522213915881,-0.290880994,-0.50297628,-0.776835211,-0.615236664,-0.100916695,-0.493640812,-0.050089121,-0.683744121,-0.797732258,1.2353681570893942,0.9893210477842524,0.7502027969410289,1.0994837733955132,0.793737889920789,-0.55035498,-1.445645023,-0.003837261,-0.139266082,1.4810699180770295,-0.290881153,-0.332564869,0.6709440311851351,-0.090606881,-0.001291019,0.27442214316825464,-0.289130179,-0.918931667,-0.941479635,-0.547319188,0.4618921858308834,-0.615693509,0.6949559171686559,-1.511610748,0.69904568769268,0.5782151159149735,0.4063926194187886,-0.998197812,-0.558207065,-0.930515535,-0.516590086,1.2248958159007535,-0.559815326,0.16972018592092758,-0.62021577,0.3928688827236013,0.6162568239624734,0.38696004835517994,0.8271235805614674,-0.081189158,-0.567555221,-1.115566518,-0.407882278,0.7819159610141337,0.21000985671716088,-0.509806495,0.9822109361541679,0.021742799979508964,0.7676116123757732,0.562993666638472,0.9279178559744822,0.4631959221480739,0.0016995778075026874,1.1419129615204682,0.7231204676912221,-0.016807345,0.7812055388428892,-0.306300659,-1.360783224,0.07317113658941268,-0.559199874,-0.286946402,-0.387964672,0.36600257324271623
SIG_CHEMOTAXIS,0.9512544304833755,-0.335965817,0.23317250096304348,-0.756569232,-0.219036082,-0.780238015,1.5513634460247618,0.4247430288874612,-1.18233232,1.814537061751677,-0.664140882,1.158237345954988,0.4016530783198875,0.7237553071974294,-0.148087754,-0.698039189,0.5758623247136107,0.146588053648551,0.3552185779719282,-0.716133994,-0.173088934,0.4377810200807787,-0.887534404,-0.078990037,-0.28416822,0.449850779538116,0.49657614121794824,0.19201651864346067,-0.315888445,-2.046146522,-0.571643124,1.382529854629228,-0.693508745,0.4429312655494389,0.5845542243995854,1.7964421829692667,0.9686504112471449,-0.716215229,-0.701489378,0.753912081715093,-0.698518587,-1.834877316,-0.03750458,0.1698555071887631,0.7223835838048108,0.9275704386616167,-0.247309797,3.0222356924998257,0.22760913214290254,-0.37715697,0.47162952250283313,-0.016933989,-1.752764566,-0.458932788,0.09848903493464305,0.42546708208468925,1.3829241045902307,-1.125665355,0.24447300216209006,-0.920189336,-0.398664648,1.3519226986059025,1.2760709654319138,0.5148024446652679,0.7313057447394674,2.1498955764474195,1.3572966834018452,-0.137463846,-0.681356148,0.009050723620145307,-0.324850194,-0.279272352,-0.213908609,0.9975243018440938,0.4045323624833305,0.46813146590829346,1.0704756274023475,0.3605766922711566,-0.47530174,-0.047843255,0.249857348381299,0.4127841108936602,0.633923803929248,0.2524763832960953,-0.236920903,-0.58645186,0.896641387123706,-0.433350743,0.027395057730821258,-1.698085501,-0.033130762,-0.711575868,-0.197486753,-0.098693539,0.06615568318699529,-1.243929239,-1.607221119,0.37772021780289816,-0.204686172,-0.58567892,-0.290013554,0.1307324056049063,-0.906227547,0.0020274609144792194,0.21113054393310585,0.9577538433480406,0.02631220633851141,1.4602962745589583,0.5651743319466511,0.04112407330175226,-0.038532193,1.1040542886659686,0.7183492612672153,1.3135655151623118,0.8440331283203241,0.33282421199104867,-1.268781346,-0.120518277,-1.489442961,-0.744042746,-0.478160593,0.5793897161670896,-0.538526176,0.3149638721266149,-0.923263931,-0.183749199,-0.980561732,-1.312270733
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES,-0.456142513,0.6340932500789958,-0.191915994,-1.058960042,0.5478857007022447,0.15159287690938428,0.2970257760523353,0.22586056781132333,1.0389605973824068,-0.782345465,-0.880954076,0.6872314161371844,0.46805723858140125,0.38095762078504575,0.026721541788855042,-0.144882222,0.1603748030408259,-0.084701559,2.410075200137839,0.8912114454920048,0.524600979801598,0.7145483501607343,-0.338857258,-0.423480974,0.7442613675573866,0.10865695622258448,-0.389081101,0.2157249596338489,0.516055878959758,-0.056361891,-0.761158886,0.350989284869416,-0.690983808,-0.245209842,-0.450589904,-0.040544908,-1.375076678,-0.095817848,-0.526007987,0.5725894897454542,0.9522633500562231,-0.332656717,-0.849220268,-0.321602757,-0.066290385,-0.052848254,-0.487217424,0.15663856747649224,-0.251362726,0.1262316399230723,2.2814713228079024,0.2620462143532492,-0.230684246,-0.611207765,1.3927706796419956,0.04771858443543609,-0.406171892,0.3956388553542192,-1.540127845,-0.199103418,-0.038952935,0.37222732876429465,0.15466478790258587,0.255185970531535,0.8322083785816232,0.8039562415514172,0.16448570985683214,0.4530910466951479,0.5699806430819275,0.04458691288608699,-0.847225493,0.8925581967408032,0.08644887583275444,0.6353108580927438,0.34156202900642313,-0.543564651,0.17823342176091714,0.17030585326244424,-0.292156682,0.6990194234221262,-0.106141494,-0.480652481,-0.486237431,-0.777786073,-0.959045675,-0.693791963,0.5838199936743799,-1.000894188,0.22862253977375024,0.43859187515061315,-0.024057859,-0.507131492,-1.134158757,0.10834383708376244,-0.776518778,-0.041078011,-1.208206414,-3.94E-05,-1.024777297,0.024574695308360393,0.37234759608063545,-0.703760563,0.2782569818021983,-0.627459485,-0.515439271,0.5583137630029408,0.6614741847103363,1.056696068440137,-0.469514888,-0.270422833,0.8071596651086246,-0.686640672,-0.284169076,0.32564446501602234,0.6798118086626161,1.0915196636698508,0.6958142276260444,-0.547303355,0.17628848668108427,0.010097042409863031,0.19007494782270704,0.21863349335996696,0.05078663686302522,-1.113964501,-0.35260031,0.34452116222909207,0.6874298962011625,0.7210231750766015
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,-0.456142513,0.6340932500789958,-0.191915994,-1.058960042,0.5478857007022453,0.15159287690938095,0.29702577605233393,0.2258605678113225,1.0389605973824088,-0.782345465,-0.880954076,0.6872314161371844,0.46805723858140125,0.38095762078504464,0.026721541788855042,-0.144882222,0.16037480304082524,-0.084701559,2.4100752001378414,0.891211445492004,0.524600979801598,0.7145483501607351,-0.338857258,-0.423480974,0.7442613675573857,0.10865695622258537,-0.389081101,0.21572495963384986,0.5160558789597569,-0.056361891,-0.761158886,0.3509892848694171,-0.690983808,-0.245209842,-0.450589904,-0.040544908,-1.375076678,-0.095817848,-0.526007987,0.5725894897454542,0.9522633500562243,-0.332656717,-0.849220268,-0.321602757,-0.066290385,-0.052848254,-0.487217424,0.1566385674764908,-0.251362726,0.1262316399230723,2.2814713228079038,0.2620462143532507,-0.230684246,-0.611207765,1.3927706796419956,0.04771858443543447,-0.406171892,0.3956388553542192,-1.540127845,-0.199103418,-0.038952935,0.3722273287642929,0.15466478790258587,0.2551859705315386,0.8322083785816232,0.8039562415514172,0.16448570985683028,0.45309104669514605,0.5699806430819275,0.04458691288608699,-0.847225493,0.8925581967408032,0.0864488758327564,0.6353108580927438,0.34156202900641913,-0.543564651,0.1782334217609151,0.17030585326244632,-0.292156682,0.6990194234221262,-0.106141494,-0.480652481,-0.486237431,-0.777786073,-0.959045675,-0.693791963,0.5838199936743821,-1.000894188,0.22862253977375024,0.43859187515061543,-0.024057859,-0.507131492,-1.134158757,0.10834383708376485,-0.776518778,-0.041078011,-1.208206414,-3.94E-05,-1.024777297,0.024574695308360393,0.3723475960806329,-0.703760563,0.2782569818021983,-0.627459485,-0.515439271,0.5583137630029408,0.6614741847103363,1.056696068440137,-0.469514888,-0.270422833,0.8071596651086274,-0.686640672,-0.284169076,0.32564446501602234,0.6798118086626161,1.0915196636698508,0.6958142276260444,-0.547303355,0.17628848668108427,0.010097042409860037,0.19007494782270704,0.21863349335996393,0.05078663686302522,-1.113964501,-0.35260031,0.34452116222909207,0.6874298962011625,0.7210231750766015
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES,-0.909949202,0.6668142242064763,-0.657185184,-0.235165372,0.23525422129436965,-1.786584516,0.28789878243427014,0.8336130913740412,-0.131817204,-0.582339061,0.05030917297945028,0.03378644371883477,0.10973321490621914,-0.178578558,1.4122031786737492,0.06798185910675687,0.905608013395656,-0.231829566,0.7085507505126183,-0.630325772,-0.294167313,0.646256936827815,-0.44142262,-0.070061303,1.3126981047166602,0.2567350773950087,0.18173154778345302,-0.12281172,0.0125792709804977,-0.700039597,0.6826787538425045,0.2645626622868068,-1.270167277,-0.968612994,-0.007741623,0.40169394658523555,0.21795621593756975,0.0373510673664572,-0.660688345,0.36142846303925535,0.0785616322353392,1.6549350170560186,0.36172129856784063,-0.189529961,1.3670562949311382,-0.567649832,-0.182454523,0.9463124419315356,-0.79781157,-1.331830883,0.19412885697564047,-0.809388156,0.2836279240643022,-0.48571591,1.154527270914235,-0.477793191,-1.429527934,-0.164869557,0.5910716752533687,0.5926871092862483,-1.392601218,0.06347296397297751,-0.374401098,-1.349616394,-0.388032523,-0.24909247,0.6896679209214465,0.451342639251015,-0.810288989,-1.004781623,-1.084576798,-0.520961049,0.839624947849781,1.2787226991406146,-0.466364806,0.07488878764022724,-0.468392259,0.9761726136012862,0.28845752771272964,-0.559147524,-0.276696385,-0.778491912,0.7005263229646532,0.4778209098137233,2.0853951976363247,-0.533089736,0.44931653727589804,-0.896439044,0.7077594295770486,-0.867129785,-0.653298116,1.4220027363236958,1.0162213522819208,-0.861192377,-0.415086423,0.983504686491016,-0.174799167,-0.152586453,-0.417889886,-0.029737341,-0.172604425,0.27701704581378966,1.36587865888815,0.07466137765085887,-0.194275114,-0.550075492,-0.335019006,-1.212547094,1.2191277129915836,-0.023316131,1.5165393416074415,0.45460166955705356,0.8793831321529446,0.03360064623980231,0.7560260685049033,-0.000906788,-0.544463455,-0.544498804,-0.320505769,-0.495268016,0.5413355055172322,0.13825683177947776,-0.837418193,1.2595407408543167,-1.089103553,0.5553011027626912,-0.860124452,-0.453336835
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,1.1604567655272995,-0.281987091,-1.469907837,-0.586557206,-0.652765594,1.0290486104068237,-0.751518969,0.2996304777812724,0.304108865037625,0.006867935223032525,-1.477177334,0.12094764411856242,0.609201611267446,-0.705044166,-0.768397395,-0.226412355,1.739913223950941,0.8018940975068206,0.6569753140953846,0.11989791662516971,-0.100852167,-0.606263401,-1.076636684,0.7096483276222197,-0.311320187,-0.076960923,-0.003284886,-0.879101316,-0.424375625,-0.223706421,0.9020494209922855,1.630969292330143,0.4097584594420975,1.3005087084099185,0.3229795517615682,-0.602735404,-0.12206528,1.0084483127894845,0.3410737582420278,0.2222818575926953,1.0795689003913724,0.8284251087344929,-0.580911217,0.06449164887640575,0.39503652909499865,-0.626239104,-0.645295396,0.072084325795375,-0.100260711,-0.30335701,1.156266569154043,-0.263615515,0.25777885162729613,1.0149711952962681,0.36872635036241064,-0.172221954,0.2705241437889055,0.5063463491288491,0.5046640475187243,0.7619522471949238,1.0919084918182131,0.8752217551120776,-0.179414667,-0.325154658,-1.475084208,1.3098650273061663,-1.008710493,-0.926157586,0.6008947129326693,0.11440720565560286,0.3462406015142029,0.27867926804667376,-0.250890345,1.4228643410164417,-0.751360958,-1.573193559,0.20554353836107642,1.930823865888804,0.4922094569606965,1.3442940911560637,0.9305118522102334,0.11136302639996995,0.5747297407591807,1.3467683521777343,1.1831313501480925,-0.220294365,-0.032159263,0.8514577759789186,-1.643110978,-1.426418625,0.021387554185946074,-0.375846493,0.529605641470053,-0.607686621,-0.490777033,-0.499319873,-0.57807352,0.4362090898705962,-1.845961673,-1.806279639,-1.236434677,-0.301311749,-1.040331505,1.1288637751410164,1.3613681874940085,-0.877792229,0.2535668662357917,-1.197459849,-0.703787107,-1.058409667,0.7477175479304276,-0.328625758,1.2692992896246282,0.5782566825441142,0.2709403030525997,0.7491628016853882,0.516157536092171,0.2878350438592643,-0.531292059,-0.431299425,1.824190660784185,0.4063966623262024,-0.033898535,-0.528018729,0.529044200053466,-0.118230273,1.8400336252710192,0.537304791978654
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,0.8456441668672775,-0.710744051,0.6469865461297221,-0.67202232,-0.548864367,-1.113878344,1.9424388595325046,-0.175027611,-1.128131382,2.1391337133812787,-0.531210243,1.7525151018874643,-0.732989903,-0.25171128,-0.283042429,-0.72816305,1.2516190445821544,0.6400540147406318,0.45429323374875236,-0.432921486,0.09833132669265332,0.22430398830359405,-0.780005909,0.8066654013379718,0.32977995759037365,0.11967152192733388,0.2678432667349868,-0.561645202,-0.327507056,-2.24502021,-1.096282584,1.7578103694116298,-1.12240994,1.1719134264288995,0.9968119986256243,2.2066734012051574,1.8511832799319983,-0.876521107,-0.294744405,1.111318337906111,-0.949853701,-1.497675923,0.34916343843856046,-0.297341854,0.9633472103537858,1.4188486265029523,0.7252040826276908,2.4866178315978926,0.1740575287291297,-0.061265007,-0.61599611,-0.974142432,-1.6162902,-1.221022626,-0.814319501,-0.034432326,2.105558152518451,-1.220987965,1.544964396487702,-0.663689325,1.1704342379462696,0.8865955290080905,1.3367017507173626,-0.275461814,0.7945943199693429,2.9484716113234706,-0.643955288,-0.168782121,0.12863925486251182,-0.103980471,-0.524266859,-0.665983209,-0.664198941,0.24402480194826645,-0.141578964,-0.50327675,1.507297178591708,0.5008293038560803,0.1471805493337175,0.30694849554007625,1.1572390140939743,0.6285462484393146,0.4570439719399371,0.6158662587073774,-0.374252171,-1.448817364,-0.027037229,1.6599334480407952,0.012597949025857307,-0.421722863,-0.907022165,-0.723367139,-0.312890734,0.23960106211846405,0.6047002630090624,-1.327110719,-1.926399971,-0.147154063,-0.497815058,-0.274450087,0.11096053067696861,-0.104952603,-1.381922474,0.15413124585611293,-0.649467177,0.8392545604479112,0.49402137576181593,1.4665783644830102,0.3127198947993617,0.6424852198020693,-1.773928982,1.3450129530052537,0.13778317601120324,0.24453403521865402,0.3192086891903772,1.015990038881072,-1.364277283,-0.960611832,-1.747482464,-0.185137935,-0.66643672,-0.389653763,-0.300513639,-1.194682786,-1.530460236,0.41895186429085995,-0.462648531,-1.361050977
WNT_SIGNALING,-1.217994993,-1.019490343,-0.594804397,-1.093048507,-0.9376734,2.086956424285169,0.5387119287659061,-0.451435382,0.8073134266091032,-2.284917499,1.4368965218669323,2.0767105387781575,1.540543975461239,0.03330515000660508,-1.221589452,0.10224532244232715,-1.893001801,-0.262316097,1.0578616677038555,0.7475630990106203,-0.522063141,-0.055130938,0.4403840851916448,0.42600765452484096,-0.165492432,1.477224518297597,1.343830028840967,-0.425866864,0.08886298099522269,0.28448337675486307,-1.130381235,-0.089769333,0.15412931155600917,1.2201211390891997,0.6764707295400539,-1.102051066,0.7768336553088658,0.7259913137485527,0.19478990465376003,0.4028434756574961,0.12512432457041256,0.803386961727171,-0.977777375,0.23332839929536567,-1.29666299,0.9025227768437434,-0.408155508,-0.057481508,0.7085119854120596,-0.130854298,-0.606673633,-1.217060217,0.485354714952512,-0.3183019,0.42529611885572743,0.2142324914609966,-0.705344747,0.4419588674050765,0.22521310419039292,-0.222957637,-1.480739798,-0.271883633,-0.50409846,1.2366000351364481,0.5042273927021351,1.597958647452205,-1.339690105,0.3715904952420646,0.5072843318541648,-0.224108499,-1.024852344,-1.557220713,1.2043033874162887,1.040066106258379,0.858156370876331,-0.932051769,2.137149727120708,0.0005999843635635804,0.14020171753527647,0.18632917488464926,-0.926281071,-0.057368036,-0.898919357,1.0431218182306168,-0.167409089,-0.465651959,-0.040315848,1.0198961750353615,-0.631772496,-0.866344438,-1.117917272,1.0698497977342076,-1.392420377,1.10588026539798,-1.591157304,-1.35780519,-0.506601016,-1.122962104,-0.067269265,-0.034642799,1.5742959681255448,0.6838136297953982,-1.714844652,-0.926129246,0.02249833245927016,-0.265943869,-0.223523607,-0.075984411,-0.979893256,0.7592805604931313,0.4757596164598292,-0.380066605,2.3308059160961054,0.8651128822373763,1.4887208392105236,0.46632230265332014,0.29581906315847173,-1.816374008,0.05750080655032169,-0.57032961,0.2107673883385705,1.2253400682439943,-0.186459071,1.141106253181084,0.8585648902552003,1.2209486680044732,1.2389377724595676,2.2938830286066305
